sample_id,location_id,patch_id,ndvi_2019,ndvi_2021,ndvi_2023,d01,d12,d02,label,path
0,accra_01,0,0.7291098833084106,0.5930162668228149,0.6816153526306152,-0.1360936164855957,0.08859908580780029,-0.04749453067779541,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000000.npz
1,accra_01,1,0.6881622076034546,0.597093403339386,0.3207527697086334,-0.0910688042640686,-0.27634063363075256,-0.36740943789482117,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000001.npz
2,accra_01,2,0.6596329212188721,0.5744714140892029,0.6371511220932007,-0.08516150712966919,0.0626797080039978,-0.022481799125671387,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000002.npz
3,accra_01,3,0.6953187584877014,0.6383805871009827,0.6989026069641113,-0.05693817138671875,0.06052201986312866,0.003583848476409912,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000003.npz
4,accra_01,4,0.7486468553543091,0.5961818695068359,0.6786271333694458,-0.15246498584747314,0.08244526386260986,-0.07001972198486328,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000004.npz
5,accra_01,5,0.6430462598800659,0.5046219825744629,0.48097291588783264,-0.13842427730560303,-0.02364906668663025,-0.16207334399223328,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000005.npz
6,accra_01,6,0.7191177010536194,0.6138437986373901,0.6428806781768799,-0.10527390241622925,0.029036879539489746,-0.0762370228767395,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000006.npz
7,accra_01,7,0.7128887176513672,0.6333639621734619,0.595162034034729,-0.07952475547790527,-0.03820192813873291,-0.11772668361663818,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000007.npz
8,accra_01,8,0.6516973376274109,0.5612687468528748,0.6979749798774719,-0.09042859077453613,0.13670623302459717,0.046277642250061035,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000008.npz
9,accra_01,9,0.7169981002807617,0.6181668639183044,0.5352301597595215,-0.09883123636245728,-0.08293670415878296,-0.18176794052124023,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000009.npz
