sample_id,location_id,patch_id,ndvi_2019,ndvi_2021,ndvi_2023,delta_2019_2023,label,path,split,d01,d12,y_curv3,y_curv4
0,accra_01,0,0.7291098833084106,0.5930162668228149,0.6816153526306152,-0.0474945306777954,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000000.npz,test,-0.1360936164855957,0.08859908580780029,-1,2
1,accra_01,1,0.6881622076034546,0.597093403339386,0.3207527697086334,-0.3674094378948211,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000001.npz,test,-0.0910688042640686,-0.27634063363075256,0,0
2,accra_01,2,0.6596329212188721,0.5744714140892029,0.6371511220932007,-0.0224817991256713,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000002.npz,test,-0.08516150712966919,0.0626797080039978,-1,2
3,accra_01,3,0.6953187584877014,0.6383805871009827,0.6989026069641113,0.0035838484764099,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000003.npz,test,-0.05693817138671875,0.06052201986312866,-1,2
4,accra_01,4,0.7486468553543091,0.5961818695068359,0.6786271333694458,-0.0700197219848632,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000004.npz,test,-0.15246498584747314,0.08244526386260986,-1,2
5,accra_01,5,0.6430462598800659,0.5046219825744629,0.4809729158878326,-0.1620733439922332,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000005.npz,test,-0.13842427730560303,-0.023649066686630305,1,3
6,accra_01,6,0.7191177010536194,0.6138437986373901,0.6428806781768799,-0.0762370228767395,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000006.npz,test,-0.10527390241622925,0.029036879539489746,1,3
7,accra_01,7,0.7128887176513672,0.6333639621734619,0.595162034034729,-0.1177266836166381,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000007.npz,test,-0.07952475547790527,-0.03820192813873291,1,3
8,accra_01,8,0.6516973376274109,0.5612687468528748,0.6979749798774719,0.046277642250061,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000008.npz,test,-0.09042859077453613,0.13670623302459717,-1,2
9,accra_01,9,0.7169981002807617,0.6181668639183044,0.5352301597595215,-0.1817679405212402,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000009.npz,test,-0.09883123636245728,-0.08293670415878296,0,0
10,accra_01,10,0.645952582359314,0.6006194353103638,0.5923128128051758,-0.0536397695541381,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000010.npz,test,-0.045333147048950195,-0.008306622505187988,1,3
11,accra_01,11,0.6639999151229858,0.6224124431610107,0.4144623279571533,-0.2495375871658325,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000011.npz,test,-0.0415874719619751,-0.20795011520385742,1,3
12,accra_01,12,0.7402306795120239,0.6270890235900879,0.4700207114219665,-0.2702099680900574,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000012.npz,test,-0.11314165592193604,-0.1570683121681214,0,0
13,accra_01,13,0.6657983660697937,0.623931348323822,0.5925198197364807,-0.0732785463333129,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000013.npz,test,-0.04186701774597168,-0.03141152858734131,1,3
14,accra_01,14,0.6570025682449341,0.5894657373428345,0.5880613327026367,-0.0689412355422973,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000014.npz,test,-0.06753683090209961,-0.001404404640197754,1,3
15,accra_01,15,0.6535782217979431,0.58856201171875,0.477120965719223,-0.1764572560787201,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000015.npz,test,-0.06501621007919312,-0.11144104599952698,0,0
16,addis_01,0,0.5427135229110718,0.3499667942523956,0.3635141253471374,-0.1791993975639343,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000016.npz,test,-0.1927467286586762,0.013547331094741821,1,3
17,addis_01,1,0.6129224896430969,0.316403865814209,0.6692724823951721,0.0563499927520751,2,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000017.npz,test,-0.29651862382888794,0.35286861658096313,-1,2
18,addis_01,2,0.4416293203830719,0.3102221190929413,0.6381740570068359,0.196544736623764,2,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000018.npz,test,-0.13140720129013062,0.32795193791389465,-1,2
19,addis_01,3,0.5903687477111816,0.3296858966350555,0.5959112644195557,0.005542516708374,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000019.npz,test,-0.26068285107612615,0.2662253677845002,-1,2
20,addis_01,4,0.5551377534866333,0.3325415849685669,0.690605878829956,0.1354681253433227,2,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000020.npz,test,-0.2225961685180664,0.35806429386138916,-1,2
21,addis_01,5,0.6115256547927856,0.2976254820823669,0.6537311673164368,0.0422055125236511,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000021.npz,test,-0.31390017271041876,0.3561056852340699,-1,2
22,addis_01,6,0.6055469512939453,0.2797722816467285,0.6245173215866089,0.0189703702926635,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000022.npz,test,-0.3257746696472168,0.34474503993988037,-1,2
23,addis_01,7,0.6644906997680664,0.3092466592788696,0.6687846779823303,0.0042939782142639,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000023.npz,test,-0.35524404048919683,0.35953801870346075,-1,2
24,addis_01,8,0.6781400442123413,0.3723770976066589,0.6339366436004639,-0.0442034006118774,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000024.npz,test,-0.30576294660568243,0.261559545993805,-1,2
25,addis_01,9,0.6509599089622498,0.3037582635879516,0.6229321956634521,-0.0280277132987976,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000025.npz,test,-0.34720164537429815,0.31917393207550054,-1,2
26,addis_01,10,0.6717174649238586,0.3008425533771515,0.5870587229728699,-0.0846587419509887,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000026.npz,test,-0.37087491154670715,0.2862161695957184,-1,2
27,addis_01,11,0.6725490093231201,0.2910910844802856,0.3890547156333923,-0.2834942936897278,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000027.npz,test,-0.38145792484283453,0.09796363115310669,-1,2
28,addis_01,12,0.7022063732147217,0.3527053594589233,0.6983139514923096,-0.0038924217224121,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000028.npz,test,-0.3495010137557984,0.3456085920333863,-1,2
29,addis_01,13,0.5509685277938843,0.3333386778831482,0.6836970448493958,0.1327285170555114,2,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000029.npz,test,-0.21762984991073608,0.35035836696624756,-1,2
30,addis_01,14,0.6719093918800354,0.3782089948654175,0.5722457766532898,-0.0996636152267456,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000030.npz,test,-0.2937003970146179,0.19403678178787231,-1,2
31,addis_01,15,0.6505498290061951,0.378394067287445,0.7007277607917786,0.0501779317855834,2,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000031.npz,test,-0.27215576171875006,0.32233369350433355,-1,2
32,auckland_01,0,,0.8449759483337402,,,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000032.npz,test,,,1,3
33,auckland_01,1,,0.8620949387550354,,,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000033.npz,test,,,1,3
34,auckland_01,2,,0.8617963194847107,,,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000034.npz,test,,,1,3
35,auckland_01,3,,0.629281759262085,,,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000035.npz,test,,,1,3
