sample_id,location_id,patch_id,ndvi_2019,ndvi_2021,ndvi_2023,delta_2019_2023,label,path
0,accra_01,0,0.7291098833084106,0.5930162668228149,0.6816153526306152,-0.04749453067779541,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000000.npz
1,accra_01,1,0.6881622076034546,0.597093403339386,0.3207527697086334,-0.36740943789482117,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000001.npz
2,accra_01,2,0.6596329212188721,0.5744714140892029,0.6371511220932007,-0.022481799125671387,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000002.npz
3,accra_01,3,0.6953187584877014,0.6383805871009827,0.6989026069641113,0.003583848476409912,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000003.npz
4,accra_01,4,0.7486468553543091,0.5961818695068359,0.6786271333694458,-0.07001972198486328,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000004.npz
5,accra_01,5,0.6430462598800659,0.5046219825744629,0.48097291588783264,-0.16207334399223328,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000005.npz
6,accra_01,6,0.7191177010536194,0.6138437986373901,0.6428806781768799,-0.0762370228767395,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000006.npz
7,accra_01,7,0.7128887176513672,0.6333639621734619,0.595162034034729,-0.11772668361663818,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000007.npz
8,accra_01,8,0.6516973376274109,0.5612687468528748,0.6979749798774719,0.046277642250061035,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000008.npz
9,accra_01,9,0.7169981002807617,0.6181668639183044,0.5352301597595215,-0.18176794052124023,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000009.npz
10,accra_01,10,0.645952582359314,0.6006194353103638,0.5923128128051758,-0.053639769554138184,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000010.npz
11,accra_01,11,0.6639999151229858,0.6224124431610107,0.4144623279571533,-0.24953758716583252,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000011.npz
12,accra_01,12,0.7402306795120239,0.6270890235900879,0.47002071142196655,-0.2702099680900574,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000012.npz
13,accra_01,13,0.6657983660697937,0.623931348323822,0.5925198197364807,-0.07327854633331299,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000013.npz
14,accra_01,14,0.6570025682449341,0.5894657373428345,0.5880613327026367,-0.06894123554229736,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000014.npz
15,accra_01,15,0.6535782217979431,0.58856201171875,0.477120965719223,-0.1764572560787201,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000015.npz
16,addis_01,0,0.5427135229110718,0.34996679425239563,0.36351412534713745,-0.17919939756393433,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_triplet_2019_2021_2023/samples/0000016.npz
