sample_id,location_id,patch_id,year_a,year_b,ndvi_a,ndvi_b,delta_ndvi,label,path,split
0,accra_01,0,2019,2023,0.7291098833084106,0.6816153526306152,-0.0474945306777954,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000000.npz,test
1,accra_01,1,2019,2023,0.6881622076034546,0.3207527697086334,-0.3674094378948211,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000001.npz,test
2,accra_01,2,2019,2023,0.6596329212188721,0.6371511220932007,-0.0224817991256713,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000002.npz,test
3,accra_01,3,2019,2023,0.6953187584877014,0.6989026069641113,0.0035838484764099,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000003.npz,test
4,accra_01,4,2019,2023,0.7486468553543091,0.6786271333694458,-0.0700197219848632,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000004.npz,test
5,accra_01,5,2019,2023,0.6430462598800659,0.4809729158878326,-0.1620733439922332,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000005.npz,test
6,accra_01,6,2019,2023,0.7191177010536194,0.6428806781768799,-0.0762370228767395,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000006.npz,test
7,accra_01,7,2019,2023,0.7128887176513672,0.595162034034729,-0.1177266836166381,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000007.npz,test
8,accra_01,8,2019,2023,0.6516973376274109,0.6979749798774719,0.046277642250061,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000008.npz,test
9,accra_01,9,2019,2023,0.7169981002807617,0.5352301597595215,-0.1817679405212402,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000009.npz,test
10,accra_01,10,2019,2023,0.645952582359314,0.5923128128051758,-0.0536397695541381,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000010.npz,test
11,accra_01,11,2019,2023,0.6639999151229858,0.4144623279571533,-0.2495375871658325,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000011.npz,test
12,accra_01,12,2019,2023,0.7402306795120239,0.4700207114219665,-0.2702099680900574,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000012.npz,test
13,accra_01,13,2019,2023,0.6657983660697937,0.5925198197364807,-0.0732785463333129,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000013.npz,test
14,accra_01,14,2019,2023,0.6570025682449341,0.5880613327026367,-0.0689412355422973,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000014.npz,test
15,accra_01,15,2019,2023,0.6535782217979431,0.477120965719223,-0.1764572560787201,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000015.npz,test
16,addis_01,0,2019,2023,0.5427135229110718,0.3635141253471374,-0.1791993975639343,0,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000016.npz,test
17,addis_01,1,2019,2023,0.6129224896430969,0.6692724823951721,0.0563499927520751,2,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000017.npz,test
18,addis_01,2,2019,2023,0.4416293203830719,0.6381740570068359,0.196544736623764,2,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000018.npz,test
19,addis_01,3,2019,2023,0.5903687477111816,0.5959112644195557,0.005542516708374,1,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000019.npz,test
20,addis_01,4,2019,2023,0.5551377534866333,0.690605878829956,0.1354681253433227,2,/Users/gabrielnixonraj/Desktop/hls_project/hls_samples_pair_2019_2023/samples/0000020.npz,test
